Đất nước,Lục địa,GNP
Afghanistan,Asia,5976
United Arab Emirates,Asia,37966
Armenia,Asia,1813
Azerbaijan,Asia,4127
Bahrain,Asia,6366
Bangladesh,Asia,32852
Bhutan,Asia,372
Brunei,Asia,11705
Philippines,Asia,65107
Georgia,Asia,6064
Hong Kong,Asia,166448
Indonesia,Asia,84982
India,Asia,447114
Iraq,Asia,11500
Iran,Asia,195746
Israel,Asia,97477
East Timor,Asia,0
Japan,Asia,3787042
Yemen,Asia,6041
Jordan,Asia,7526
Cambodia,Asia,5121
Kazakstan,Asia,24375
China,Asia,982268
Kyrgyzstan,Asia,1626
North Korea,Asia,5332
South Korea,Asia,320749
Kuwait,Asia,27037
Cyprus,Asia,9333
Laos,Asia,1292
Lebanon,Asia,17121
Macao,Asia,5749
Maldives,Asia,199
Malaysia,Asia,69213
Mongolia,Asia,1043
Myanmar,Asia,180375
Nepal,Asia,4768
Oman,Asia,16904
Pakistan,Asia,61289
Qatar,Asia,9472
Saudi Arabia,Asia,137635
Singapore,Asia,86503
Sri Lanka,Asia,15706
Syria,Asia,65984
Tajikistan,Asia,1990
Taiwan,Asia,256254
Thailand,Asia,116416
Turkey,Asia,210721
Turkmenistan,Asia,4397
Uzbekistan,Asia,14194
Vietnam,Asia,21929
Palestine,Asia,4173
